id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,consultation_generale,chirurgie_oculaire,correction_visuelle,vente_lunettes,traitement_cataracte,traitement_glaucome,laser_vision,horaires
OPH0023,Centre Ophtalmologique Saint-Marie,Douala,Douala V,Mbanya,4.053378,9.73347,+237 696 700 596,marie@hotmail.com,Oui,Non,Non,Oui,Oui,Oui,Non,Lun–Sam 08h00–17h00
OPH0024,Centre Ophtalmologique Saint-François,Douala,Douala VI,Bassa,4.078722,9.712809,+237 243 280 788,françois@gmail.com,Oui,Non,Oui,Non,Oui,Non,Non,Lun–Dim 08h00–18h00
OPH0025,Clinique Ophtalmologique de Soboum,Douala,Douala I,Bali,4.001335,9.68517,+237 655 650 504,soboum@yahoo.fr,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0026,Clinique Ophtalmologique de Efoulan,Yaoundé,Yaoundé III,Etoudi,3.873209,11.605952,+237 654 887 290,efoulan@hotmail.com,Oui,Non,Oui,Non,Non,Non,Oui,Lun–Ven 07h30–17h30
OPH0027,Clinique des Yeux de PK12,Douala,Douala III,PK8,4.031827,9.77152,+237 651 110 821,desyeuxpk12@yahoo.fr,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
OPH0028,Clinique des Yeux de Ndogpassi,Douala,Douala III,Logbessou,4.007956,9.75963,+237 233 766 619,desyeuxndogpas@gmail.com,Oui,Non,Non,Oui,Oui,Non,Non,Lun–Sam 08h30–18h30
OPH0029,Ophtalmologie Avenir,Douala,Douala V,Boko,4.043496,9.725821,+237 694 737 877,ophtalmologiea@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 07h30–17h30
OPH0030,Clinique Ophtalmologique de Logbessou,Douala,Douala V,Logbessou,4.035471,9.764505,+237 692 312 607,logbessou@gmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Ven 07h30–17h30
OPH0031,Clinique Ophtalmologique de Japoma,Douala,Douala I,New Bell,3.996283,9.69419,+237 222 816 697,japoma@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Ven 08h00–18h00
OPH0032,Clinique des Yeux de Japoma,Douala,Douala IV,Japoma,4.012604,9.73132,+237 693 371 501,desyeuxjapoma@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 08h30–18h30
OPH0033,Centre de la Vision Bikié,Douala,Douala II,Cité des Palmiers,4.114267,9.69095,+237 693 598 985,visionbikié@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
OPH0034,Clinique des Yeux de Ndogpassi,Douala,Douala I,Bangue,4.058059,9.643218,+237 654 127 544,desyeuxndogpas@hotmail.com,Oui,Non,Oui,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
OPH0035,Clinique Ophtalmologique de Mbanya,Douala,Douala IV,PK12,3.963675,9.713959,+237 233 601 540,mbanya@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
OPH0036,Clinique Ophtalmologique de New Bell,Douala,Douala V,Kotto,4.082132,9.670333,+237 243 808 694,newbell@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,Lun–Dim 08h00–18h00
OPH0037,Cabinet Ophtalmologique Fouda,Yaoundé,Yaoundé III,Mvog-Beti,3.88971,11.41119,+237 695 083 758,fouda@yahoo.fr,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Ven 08h00–18h00
OPH0038,Clinique des Yeux de Ndog-Bong,Douala,Douala V,Bangue,4.091484,9.739449,+237 679 539 862,desyeuxndog-bo@ophta.cm,Oui,Oui,Oui,Oui,Non,Oui,Oui,7j/7 — 08h00–20h00
OPH0039,Clinique Ophtalmologique de Ekounou,Yaoundé,Yaoundé VII,Ekounou,3.886833,11.528515,+237 678 310 522,ekounou@ophta.cm,Oui,Oui,Oui,Non,Non,Oui,Non,7j/7 — 08h00–20h00
OPH0040,Centre Ophtalmologique Saint-Louis,Yaoundé,Yaoundé I,Omnisports,3.895382,11.573168,+237 695 265 243,louis@hotmail.com,Oui,Non,Non,Oui,Oui,Oui,Non,Lun–Ven 07h30–17h30
OPH0041,Cabinet Ophtalmologique Biyiti,Yaoundé,Yaoundé I,Bastos,3.914453,11.567972,+237 690 631 480,biyiti@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Oui,Lun–Ven 08h00–18h00
OPH0042,Clinique des Yeux de Nkongmondo,Douala,Douala V,Nkongmondo,4.091033,9.737645,+237 653 721 347,desyeuxnkongmo@ophta.cm,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h30–19h00
OPH0043,Centre Ophtalmologique Saint-Louis,Douala,Douala V,Bessengue,4.07487,9.711075,+237 690 886 574,louis@gmail.com,Oui,Oui,Non,Non,Oui,Oui,Non,Lun–Sam 08h30–18h30
OPH0044,Clinique des Yeux de Nkoabang,Yaoundé,Yaoundé I,Nkol-Eton,3.785099,11.535074,+237 653 977 303,desyeuxnkoaban@hotmail.com,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
OPH0045,Centre de la Vision Hamadou,Yaoundé,Yaoundé V,Étoa-Meki,3.828407,11.445474,+237 696 331 769,visionhamadou@yahoo.fr,Oui,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h00–17h00
OPH0046,Ophtalmologie Providence,Douala,Douala VI,Boko,4.065336,9.69543,+237 695 298 183,ophtalmologiep@hotmail.com,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
OPH0047,Centre de la Vision Elong,Yaoundé,Yaoundé I,Nkolbisson,3.862629,11.585617,+237 699 126 644,visionelong@ophta.cm,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0048,Cabinet Ophtalmologique Djoumbi,Douala,Douala IV,Deido,4.036391,9.73956,+237 652 950 007,djoumbi@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
OPH0049,Clinique des Yeux de Nkol-Eton,Yaoundé,Yaoundé I,Cité Verte,3.917352,11.436611,+237 678 713 228,desyeuxnkol-et@ophta.cm,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
OPH0050,Clinique Ophtalmologique de Mbanya,Douala,Douala III,Nzeng-Ayong,4.012131,9.658789,+237 243 413 980,mbanya@yahoo.fr,Oui,Non,Non,Non,Non,Oui,Oui,Lun–Ven 08h00–18h00
OPH0051,Centre Ophtalmologique Saint-Thérèse,Yaoundé,Yaoundé VII,Biteng,3.877259,11.492679,+237 691 743 720,thérèse@ophta.cm,Oui,Oui,Oui,Non,Oui,Oui,Non,Lun–Sam 08h00–17h00
OPH0052,Clinique des Yeux de Briqueterie,Yaoundé,Yaoundé V,Mendong,3.813411,11.558169,+237 222 504 188,desyeuxbriquet@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,7j/7 — 08h00–20h00
OPH0053,Centre de la Vision Fouda,Yaoundé,Yaoundé V,Nkolbisson,3.798211,11.431055,+237 690 439 952,visionfouda@hotmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Ven 08h00–18h00
OPH0054,Clinique des Yeux de PK10,Douala,Douala IV,Bassa,4.073534,9.784454,+237 695 088 703,desyeuxpk10@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Sam 08h30–18h30
OPH0055,Centre de la Vision Owona,Yaoundé,Yaoundé IV,Elig-Essono,3.881613,11.398215,+237 692 230 791,visionowona@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0056,Cabinet Ophtalmologique Mvogo,Yaoundé,Yaoundé II,Obili,3.863924,11.521866,+237 677 208 949,mvogo@gmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Lun–Ven 07h30–17h30
OPH0057,Clinique des Yeux de Odza,Yaoundé,Yaoundé V,Odza,3.830567,11.496605,+237 696 397 568,desyeuxodza@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Ven 08h00–18h00
OPH0058,Clinique Ophtalmologique de Akwa,Douala,Douala II,Makepe,4.111565,9.751812,+237 655 890 566,akwa@gmail.com,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Ven 07h30–17h30
OPH0059,Clinique Ophtalmologique de Mendong,Yaoundé,Yaoundé III,Ahala,3.841998,11.497363,+237 691 767 401,mendong@yahoo.fr,Oui,Non,Non,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
OPH0060,Clinique Ophtalmologique de Mimboman,Yaoundé,Yaoundé I,Mimboman,3.917746,11.4735,+237 697 207 077,mimboman@yahoo.fr,Oui,Non,Non,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0061,Clinique des Yeux de Bonapriso,Douala,Douala VI,Boko,4.096935,9.712324,+237 679 651 555,desyeuxbonapri@gmail.com,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Dim 08h00–18h00
OPH0062,Ophtalmologie Bonheur,Yaoundé,Yaoundé VII,Djoungolo,3.793789,11.4763,+237 222 131 654,ophtalmologieb@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
OPH0063,Centre de la Vision Mvogo,Douala,Douala V,Bonapriso,4.030137,9.625071,+237 693 169 303,visionmvogo@gmail.com,Oui,Non,Oui,Non,Oui,Oui,Oui,Lun–Sam 07h30–19h00
OPH0064,Ophtalmologie Secours,Yaoundé,Yaoundé II,Essos,3.91239,11.476887,+237 679 997 130,ophtalmologies@ophta.cm,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Ven 08h00–18h00
OPH0065,Centre Ophtalmologique Saint-Joseph,Yaoundé,Yaoundé IV,Madagascar,3.786006,11.467196,+237 693 748 302,joseph@hotmail.com,Oui,Non,Oui,Non,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0066,Centre Ophtalmologique Saint-Damien,Yaoundé,Yaoundé V,Mimboman,3.755948,11.505662,+237 677 865 523,damien@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0067,Clinique des Yeux de Akwa,Douala,Douala I,Akwa,3.977405,9.674192,+237 690 291 865,desyeuxakwa@hotmail.com,Oui,Non,Oui,Non,Non,Non,Oui,Lun–Sam 08h30–18h30
OPH0068,Cabinet Ophtalmologique Ekani,Yaoundé,Yaoundé IV,Obili,3.763877,11.486924,+237 242 244 386,ekani@yahoo.fr,Oui,Non,Non,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
OPH0069,Clinique Ophtalmologique de Bonaberi,Douala,Douala I,Bepanda,4.073086,9.70193,+237 696 283 005,bonaberi@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 07h30–17h30
OPH0070,Clinique Ophtalmologique de PK10,Douala,Douala I,Youpwé,4.10866,9.662137,+237 694 125 150,pk10@gmail.com,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Sam 07h00–20h00
OPH0071,Clinique des Yeux de Youpwé,Douala,Douala IV,Youpwé,4.054502,9.724123,+237 650 295 395,desyeuxyoupwé@gmail.com,Oui,Non,Oui,Oui,Oui,Non,Oui,Lun–Sam 08h00–17h00
OPH0072,Centre de la Vision Moussa,Yaoundé,Yaoundé I,Kondengui,3.858289,11.519365,+237 222 221 996,visionmoussa@yahoo.fr,Oui,Non,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
OPH0073,Clinique Ophtalmologique de Briqueterie,Yaoundé,Yaoundé IV,Briqueterie,3.797702,11.451253,+237 242 483 144,briqueterie@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Non,Lun–Sam 07h30–19h00
OPH0074,Centre Ophtalmologique Saint-Anne,Yaoundé,Yaoundé VII,Ekounou,3.885671,11.563328,+237 699 192 476,anne@yahoo.fr,Oui,Non,Oui,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
OPH0075,Clinique Ophtalmologique de Ndogpassi,Douala,Douala V,Sodiko,4.089434,9.762223,+237 233 800 610,ndogpassi@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0076,Cabinet Ophtalmologique Mvé,Yaoundé,Yaoundé III,Étoa-Meki,3.94163,11.479969,+237 243 532 602,mvé@yahoo.fr,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Sam 07h00–20h00
OPH0077,Clinique Ophtalmologique de Boko,Douala,Douala IV,Akwa,4.121913,9.748313,+237 698 876 026,boko@ophta.cm,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
OPH0078,Clinique des Yeux de Etoudi,Yaoundé,Yaoundé VI,Etoudi,3.795881,11.46721,+237 651 905 331,desyeuxetoudi@ophta.cm,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
OPH0079,Cabinet Ophtalmologique Tchoupo,Yaoundé,Yaoundé V,Etoudi,3.865107,11.466124,+237 694 930 349,tchoupo@yahoo.fr,Oui,Non,Oui,Oui,Oui,Oui,Oui,Lun–Sam 08h00–17h00
OPH0080,Clinique des Yeux de Carrière,Yaoundé,Yaoundé V,Carrière,3.894953,11.530004,+237 696 648 209,desyeuxcarrièr@hotmail.com,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0081,Centre Ophtalmologique Saint-Dominique,Yaoundé,Yaoundé I,Nkoabang,3.846595,11.589139,+237 654 143 734,dominique@ophta.cm,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
OPH0082,Centre de la Vision Mvé,Yaoundé,Yaoundé III,Nkolbisson,3.834098,11.568057,+237 242 012 872,visionmvé@yahoo.fr,Oui,Non,Non,Oui,Non,Oui,Oui,Lun–Dim 08h00–18h00
OPH0083,Centre de la Vision Ekani,Douala,Douala IV,Nkongmondo,4.052862,9.761142,+237 243 596 782,visionekani@yahoo.fr,Oui,Oui,Oui,Non,Oui,Oui,Non,Lun–Sam 08h30–18h30
OPH0084,Cabinet Ophtalmologique Moussa,Douala,Douala V,Bessengue,4.085774,9.739005,+237 696 324 390,moussa@hotmail.com,Oui,Non,Non,Oui,Oui,Non,Non,Lun–Ven 08h00–18h00
OPH0085,Cabinet Ophtalmologique Engoulou,Yaoundé,Yaoundé III,Étoa-Meki,3.780117,11.499674,+237 653 490 269,engoulou@hotmail.com,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Ven 07h30–17h30
OPH0086,Clinique des Yeux de Nsam,Yaoundé,Yaoundé IV,Nsam,3.782424,11.424326,+237 655 584 576,desyeuxnsam@gmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
OPH0087,Clinique Ophtalmologique de Mvan,Yaoundé,Yaoundé V,Etoudi,3.891277,11.46291,+237 655 086 603,mvan@ophta.cm,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Dim 08h00–18h00
OPH0088,Clinique des Yeux de Ndogpassi,Douala,Douala V,Sodiko,4.069219,9.671495,+237 677 050 531,desyeuxndogpas@gmail.com,Oui,Non,Oui,Non,Non,Oui,Non,Lun–Ven 08h00–18h00
OPH0089,Centre de la Vision Ngoa,Douala,Douala II,Ndogbong,4.031376,9.738845,+237 692 950 562,visionngoa@gmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h00–20h00
OPH0090,Cabinet Ophtalmologique Zang,Douala,Douala III,Ndogbong,4.068536,9.796357,+237 242 999 772,zang@yahoo.fr,Oui,Non,Oui,Oui,Oui,Non,Oui,Lun–Ven 07h30–17h30
OPH0091,Clinique Ophtalmologique de Nkoabang,Yaoundé,Yaoundé V,Nkoabang,3.948155,11.491118,+237 679 620 312,nkoabang@ophta.cm,Oui,Oui,Non,Oui,Oui,Non,Non,7j/7 — 08h00–20h00
OPH0092,Centre Ophtalmologique Saint-Jean,Yaoundé,Yaoundé III,Nkol-Afeme,3.865045,11.525496,+237 654 932 146,jean@ophta.cm,Oui,Non,Oui,Non,Oui,Oui,Non,Lun–Dim 08h00–18h00
OPH0093,Clinique des Yeux de Mvog-Ada,Yaoundé,Yaoundé VII,Bastos,3.834609,11.567864,+237 243 144 563,desyeuxmvog-ad@ophta.cm,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
OPH0094,Clinique Ophtalmologique de Bassa,Douala,Douala II,Ndogpassi,4.019656,9.656168,+237 699 349 100,bassa@ophta.cm,Oui,Non,Oui,Oui,Oui,Oui,Non,7j/7 — 08h00–20h00
OPH0095,Centre Ophtalmologique Saint-Anne,Douala,Douala IV,Ndogpassi,4.124021,9.761016,+237 652 816 091,anne@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Dim 08h00–18h00
OPH0096,Clinique des Yeux de Kotto,Douala,Douala V,Boko,4.062013,9.745969,+237 651 468 673,desyeuxkotto@ophta.cm,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 07h30–19h00
OPH0097,Centre Ophtalmologique Saint-André,Yaoundé,Yaoundé III,Mimboman,3.888235,11.488716,+237 691 388 622,andré@hotmail.com,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h00–20h00
OPH0098,Clinique des Yeux de Kondengui,Yaoundé,Yaoundé VII,Nkoldongo,3.783237,11.53914,+237 699 358 354,desyeuxkondeng@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
OPH0099,Cabinet Ophtalmologique Fotso,Yaoundé,Yaoundé VI,Cité Verte,3.926807,11.492986,+237 233 079 630,fotso@ophta.cm,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 08h00–17h00
OPH0100,Centre Ophtalmologique Saint-Jeanne,Douala,Douala VI,Soboum,4.058886,9.69132,+237 692 742 966,jeanne@ophta.cm,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 07h30–17h30
OPH0101,Clinique Ophtalmologique de Makepe,Douala,Douala VI,Youpwé,4.015374,9.779653,+237 697 212 205,makepe@ophta.cm,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
OPH0102,Clinique Ophtalmologique de Bonapriso,Douala,Douala III,PK12,4.032001,9.780547,+237 655 508 541,bonapriso@ophta.cm,Oui,Oui,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h30–18h30
OPH0103,Clinique des Yeux de Ngousso,Yaoundé,Yaoundé VII,Ngousso,3.895574,11.551409,+237 654 436 643,desyeuxngousso@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
OPH0104,Clinique des Yeux de Bonaberi,Douala,Douala II,PK14,4.063495,9.643195,+237 696 251 015,desyeuxbonaber@gmail.com,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h30–19h00
OPH0105,Cabinet Ophtalmologique Eba,Yaoundé,Yaoundé VII,Biteng,3.7728,11.553206,+237 652 069 674,eba@hotmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0106,Clinique Ophtalmologique de Bonamoussadi,Douala,Douala II,Cité des Palmiers,4.062521,9.78283,+237 242 696 388,bonamoussadi@hotmail.com,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Ven 07h30–17h30
OPH0107,Centre de la Vision Kuitche,Yaoundé,Yaoundé V,Nkolbisson,3.771429,11.454845,+237 695 213 866,visionkuitche@hotmail.com,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h30–18h30
OPH0108,Clinique des Yeux de Koumassi,Douala,Douala III,Koumassi,4.0783,9.794227,+237 222 101 531,desyeuxkoumass@ophta.cm,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
OPH0109,Cabinet Ophtalmologique Nguele,Yaoundé,Yaoundé V,Nlongkak,3.813837,11.530854,+237 693 189 424,nguele@hotmail.com,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
OPH0110,Clinique des Yeux de Nkolbisson,Yaoundé,Yaoundé VII,Nkolbisson,3.781748,11.480843,+237 695 704 844,desyeuxnkolbis@hotmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
OPH0111,Centre de la Vision Kamga,Douala,Douala III,PK14,4.008239,9.763274,+237 677 817 494,visionkamga@ophta.cm,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
OPH0112,Clinique des Yeux de Tsinga,Yaoundé,Yaoundé III,Tsinga,3.862048,11.514477,+237 243 189 288,desyeuxtsinga@hotmail.com,Oui,Non,Non,Oui,Oui,Non,Non,Lun–Sam 07h00–20h00
OPH0113,Clinique Ophtalmologique de Mvog-Atangana,Yaoundé,Yaoundé III,Mvog-Atangana,3.797986,11.584487,+237 650 864 002,mvog-atangana@hotmail.com,Oui,Non,Oui,Non,Non,Non,Non,Lun–Ven 07h30–17h30
OPH0114,Clinique Ophtalmologique de Essos,Yaoundé,Yaoundé IV,Essos,3.907676,11.529081,+237 655 508 669,essos@yahoo.fr,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h00–20h00
OPH0115,Clinique des Yeux de Efoulan,Yaoundé,Yaoundé VI,Tsinga,3.786228,11.436187,+237 693 317 623,desyeuxefoulan@ophta.cm,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
OPH0116,Clinique Ophtalmologique de Odza,Yaoundé,Yaoundé II,Odza,3.849406,11.519278,+237 695 873 768,odza@gmail.com,Oui,Non,Oui,Oui,Non,Oui,Oui,Lun–Dim 08h00–18h00
OPH0117,Cabinet Ophtalmologique Mvé,Douala,Douala II,Soboum,4.118558,9.76477,+237 679 069 623,mvé@ophta.cm,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h00–20h00
OPH0118,Clinique des Yeux de Nyalla,Douala,Douala VI,Japoma,4.123078,9.694528,+237 677 494 408,desyeuxnyalla@ophta.cm,Oui,Non,Oui,Oui,Oui,Non,Oui,Lun–Sam 07h30–19h00
OPH0119,Clinique Ophtalmologique de Simbock,Yaoundé,Yaoundé VI,Simbock,3.832652,11.453784,+237 654 867 930,simbock@hotmail.com,Oui,Oui,Oui,Oui,Non,Oui,Non,7j/7 — 08h00–20h00
