id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,analyses_courantes,bilan_complet,bacteriologie,serologie,pcr_covid_paludisme,prelevement_domicile,resultat_en_ligne,horaires
LAB0015,Laboratoire Onana,Yaoundé,Yaoundé VI,Elig-Essono,3.803073,11.438248,+237 692 387 736,onana@labo.cm,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Ven 08h00–18h00
LAB0016,Laboratoire de Émana,Yaoundé,Yaoundé V,Émana,3.846114,11.433082,+237 653 044 406,émana@hotmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
LAB0017,Centre d'Analyses de PK17,Douala,Douala VI,Ndogpassi,4.052707,9.773664,+237 652 353 843,pk17@labo.cm,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
LAB0018,Centre d'Analyses de Ndog-Passi III,Douala,Douala I,Makepe,3.984355,9.755045,+237 693 989 884,ndog-passiiii@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0019,Laboratoire Providence,Yaoundé,Yaoundé I,Omnisports,3.950128,11.47444,+237 650 289 665,providence@hotmail.com,Oui,Non,Non,Oui,Oui,Oui,Oui,Lun–Sam 08h00–17h00
LAB0020,Laboratoire Moussa,Yaoundé,Yaoundé V,Messa,3.791917,11.489871,+237 651 613 053,moussa@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Oui,Lun–Ven 08h00–18h00
LAB0021,Laboratoire Médical de Bonaloka,Douala,Douala VI,Ndog-Passi III,4.017306,9.723989,+237 696 187 572,médicalbonalok@yahoo.fr,Oui,Non,Non,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
LAB0022,Laboratoire Confiance,Yaoundé,Yaoundé VII,Efoulan,3.948243,11.473169,+237 678 014 803,confiance@yahoo.fr,Oui,Non,Oui,Non,Non,Oui,Oui,Lun–Dim 08h00–18h00
LAB0023,Laboratoire Espoir,Yaoundé,Yaoundé VII,Elig-Essono,3.907515,11.509613,+237 679 133 048,espoir@labo.cm,Oui,Oui,Non,Oui,Oui,Non,Oui,Lun–Sam 08h30–18h30
LAB0024,Laboratoire Saint-Bruno,Douala,Douala I,Bonanjo,4.113695,9.730844,+237 222 490 582,bruno@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0025,Laboratoire Médical de Mvan,Yaoundé,Yaoundé VII,Mvan,3.815305,11.515539,+237 653 616 416,médicalmvan@yahoo.fr,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
LAB0026,Laboratoire Mvogo,Douala,Douala II,Kotto,4.068442,9.705526,+237 696 701 777,mvogo@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
LAB0027,Laboratoire de Bassa,Douala,Douala III,Bonamoussadi,4.121573,9.701296,+237 655 504 858,bassa@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Oui,7j/7 — 08h00–20h00
LAB0028,Laboratoire de Kotto,Douala,Douala I,Kotto,4.071769,9.719626,+237 696 289 640,kotto@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Lun–Sam 08h30–18h30
LAB0029,Centre d'Analyses de PK12,Douala,Douala I,Bonamoussadi,4.013663,9.779986,+237 654 375 853,pk12@labo.cm,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
LAB0030,Laboratoire Médical de Odza,Yaoundé,Yaoundé V,Odza,3.820221,11.403223,+237 654 785 577,médicalodza@gmail.com,Oui,Oui,Oui,Oui,Non,Non,Oui,Lun–Dim 08h00–18h00
LAB0031,Laboratoire Médical de Kondengui,Yaoundé,Yaoundé I,Kondengui,3.942344,11.478395,+237 233 284 394,médicalkondeng@gmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
LAB0032,Laboratoire Médical de Cité des Palmiers,Douala,Douala I,Mbanya,4.011599,9.637429,+237 694 674 642,médicalcitédes@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0033,Laboratoire de Youpwé,Douala,Douala II,Makepe,4.075512,9.772923,+237 691 210 625,youpwé@labo.cm,Oui,Oui,Oui,Oui,Non,Non,Oui,Lun–Dim 08h00–18h00
LAB0034,Centre d'Analyses de Tsinga,Yaoundé,Yaoundé V,Tsinga,3.848576,11.410057,+237 693 848 167,tsinga@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 07h30–17h30
LAB0035,Laboratoire Mbarga,Yaoundé,Yaoundé IV,Obili,3.911098,11.41625,+237 243 685 363,mbarga@labo.cm,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Dim 08h00–18h00
LAB0036,Laboratoire Médical de Ndog-Passi III,Douala,Douala I,Kotto,4.094194,9.658731,+237 694 533 613,médicalndog-pa@hotmail.com,Oui,Non,Oui,Oui,Non,Oui,Oui,Lun–Ven 08h00–18h00
LAB0037,Laboratoire Médical de PK10,Douala,Douala I,Bonamoussadi,4.081963,9.660274,+237 650 613 153,médicalpk10@hotmail.com,Oui,Non,Non,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0038,Laboratoire Abega,Yaoundé,Yaoundé II,Biyem-Assi,3.866912,11.457382,+237 697 998 050,abega@labo.cm,Oui,Oui,Oui,Oui,Oui,Oui,Non,Lun–Ven 08h00–18h00
LAB0039,Laboratoire de Madagascar,Yaoundé,Yaoundé VII,Madagascar,3.833463,11.606695,+237 222 521 827,madagascar@yahoo.fr,Oui,Non,Oui,Non,Non,Non,Oui,Lun–Ven 07h30–17h30
LAB0040,Laboratoire Mbarga,Douala,Douala I,Ndogbong,4.085382,9.75425,+237 650 991 371,mbarga@labo.cm,Oui,Oui,Oui,Non,Non,Non,Non,7j/7 — 08h00–20h00
LAB0041,Laboratoire Médical de Nkongmondo,Douala,Douala II,Sodiko,4.004317,9.75666,+237 677 087 011,médicalnkongmo@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Lun–Ven 07h30–17h30
LAB0042,Laboratoire Elong,Douala,Douala I,Ndoghem,4.008688,9.76273,+237 695 671 782,elong@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0043,Centre d'Analyses de PK8,Douala,Douala IV,Bangue,4.061051,9.656022,+237 652 167 703,pk8@labo.cm,Oui,Non,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h30–18h30
LAB0044,Laboratoire Nguele,Douala,Douala V,Nzeng-Ayong,3.976523,9.742728,+237 650 832 728,nguele@yahoo.fr,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Dim 08h00–18h00
LAB0045,Laboratoire Médical de Elig-Essono,Yaoundé,Yaoundé V,Santa Barbara,3.775228,11.447706,+237 678 091 807,médicalelig-es@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Ven 08h00–18h00
LAB0046,Centre d'Analyses de Biyem-Assi,Yaoundé,Yaoundé VI,Odza,3.91482,11.571717,+237 690 485 537,biyem-assi@labo.cm,Oui,Oui,Non,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0047,Centre d'Analyses de Ahala,Yaoundé,Yaoundé VI,Ahala,3.799632,11.459529,+237 222 016 200,ahala@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Oui,Lun–Ven 07h30–17h30
LAB0048,Laboratoire Médical de Ahala,Yaoundé,Yaoundé I,Djoungolo,3.827955,11.571713,+237 696 501 226,médicalahala@hotmail.com,Oui,Oui,Non,Non,Non,Non,Non,Lun–Ven 07h30–17h30
LAB0049,Laboratoire de Mvog-Beti,Yaoundé,Yaoundé V,Melen,3.793668,11.466695,+237 222 648 182,mvog-beti@gmail.com,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Ven 08h00–18h00
LAB0050,Laboratoire de Mokolo,Yaoundé,Yaoundé IV,Mokolo,3.821166,11.45982,+237 678 414 923,mokolo@hotmail.com,Oui,Oui,Non,Non,Non,Non,Non,Lun–Dim 08h00–18h00
LAB0051,Laboratoire Médical de Cité Verte,Yaoundé,Yaoundé I,Cité Verte,3.867842,11.577459,+237 678 991 515,médicalcitéver@labo.cm,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h00–20h00
LAB0052,Laboratoire de PK10,Douala,Douala I,Deido,4.105737,9.706919,+237 655 487 999,pk10@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 08h00–17h00
LAB0053,Laboratoire de Ngoa-Ekélé,Yaoundé,Yaoundé VII,Ngoa-Ekélé,3.899168,11.408864,+237 242 830 050,ngoa-ekélé@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 08h00–17h00
LAB0054,Laboratoire Médical de Mbanya,Douala,Douala I,Mbanya,3.994072,9.687737,+237 678 358 094,médicalmbanya@labo.cm,Oui,Oui,Non,Non,Non,Non,Non,7j/7 — 08h00–20h00
LAB0055,Centre d'Analyses de Obili,Yaoundé,Yaoundé VI,Obili,3.77135,11.50387,+237 650 884 071,obili@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
LAB0056,Laboratoire de Santa Barbara,Yaoundé,Yaoundé IV,Carrière,3.879223,11.588328,+237 243 223 107,santabarbara@gmail.com,Oui,Non,Oui,Oui,Oui,Oui,Oui,Lun–Sam 08h00–17h00
LAB0057,Laboratoire de Mbanya,Douala,Douala II,Mbanya,4.085444,9.720771,+237 679 912 756,mbanya@gmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Ven 07h30–17h30
LAB0058,Laboratoire de Bessengue,Douala,Douala VI,Mbanya,4.078951,9.773165,+237 698 754 357,bessengue@gmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,Lun–Ven 08h00–18h00
LAB0059,Laboratoire Médical de Tsinga,Yaoundé,Yaoundé I,Bastos,3.839171,11.554026,+237 654 640 264,médicaltsinga@labo.cm,Oui,Non,Non,Non,Non,Non,Non,Lun–Dim 08h00–18h00
LAB0060,Laboratoire de Mendong,Yaoundé,Yaoundé VI,Madagascar,3.838021,11.444595,+237 652 897 622,mendong@labo.cm,Oui,Non,Oui,Oui,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0061,Laboratoire de Bonanjo,Douala,Douala II,PK10,4.115238,9.747844,+237 243 601 631,bonanjo@labo.cm,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
LAB0062,Laboratoire Médical de Bonaloka,Douala,Douala I,Bali,4.068914,9.64261,+237 243 443 295,médicalbonalok@gmail.com,Oui,Non,Non,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
LAB0063,Laboratoire Médical de Mvog-Mbi,Yaoundé,Yaoundé I,Mvog-Mbi,3.804169,11.429646,+237 696 315 319,médicalmvog-mb@gmail.com,Oui,Oui,Non,Non,Non,Non,Non,Lun–Sam 07h00–20h00
LAB0064,Laboratoire Médical de Essos,Yaoundé,Yaoundé VII,Santa Barbara,3.771199,11.443767,+237 243 870 759,médicalessos@gmail.com,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
LAB0065,Laboratoire Belinga,Yaoundé,Yaoundé II,Etoudi,3.827329,11.421806,+237 242 910 151,belinga@yahoo.fr,Oui,Non,Oui,Oui,Non,Oui,Oui,Lun–Ven 07h30–17h30
LAB0066,Centre d'Analyses de Boko,Douala,Douala VI,New Bell,3.964951,9.68993,+237 677 477 510,boko@labo.cm,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
LAB0067,Laboratoire de Nkoabang,Yaoundé,Yaoundé II,Biyem-Assi,3.84618,11.459917,+237 693 195 874,nkoabang@hotmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Non,Lun–Sam 08h30–18h30
LAB0068,Centre d'Analyses de Kondengui,Yaoundé,Yaoundé I,Nsam,3.809932,11.504388,+237 242 163 586,kondengui@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
LAB0069,Laboratoire Fouda,Yaoundé,Yaoundé IV,Tsinga,3.785084,11.497148,+237 654 970 482,fouda@labo.cm,Oui,Non,Non,Oui,Non,Non,Oui,7j/7 — 08h00–20h00
LAB0070,Laboratoire Médical de Nkol-Eton,Yaoundé,Yaoundé V,Nkol-Eton,3.828413,11.450815,+237 679 354 240,médicalnkol-et@yahoo.fr,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
LAB0071,Laboratoire Médical de Akwa,Douala,Douala V,Akwa,4.037935,9.665777,+237 242 761 583,médicalakwa@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Dim 08h00–18h00
LAB0072,Laboratoire de Bonanjo,Douala,Douala II,Bessengue,3.980699,9.701931,+237 692 999 352,bonanjo@gmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,Lun–Dim 08h00–18h00
LAB0073,Laboratoire de Ahala,Yaoundé,Yaoundé II,Briqueterie,3.955066,11.497246,+237 695 286 446,ahala@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 07h30–17h30
LAB0074,Laboratoire Espoir,Yaoundé,Yaoundé VI,Nsam,3.881404,11.500029,+237 691 401 618,espoir@yahoo.fr,Oui,Non,Oui,Oui,Oui,Oui,Oui,Lun–Ven 08h00–18h00
LAB0075,Laboratoire Médical de Ekounou,Yaoundé,Yaoundé IV,Ahala,3.912834,11.559305,+237 694 572 078,médicalekounou@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Oui,Lun–Sam 08h00–17h00
LAB0076,Laboratoire Bello,Yaoundé,Yaoundé VI,Kondengui,3.799145,11.411187,+237 695 094 330,bello@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0077,Laboratoire Saint-Joseph,Yaoundé,Yaoundé I,Obili,3.748312,11.526775,+237 677 480 042,joseph@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Non,7j/7 — 08h00–20h00
LAB0078,Laboratoire Médical de Bonanjo,Douala,Douala VI,Bonanjo,4.027701,9.661963,+237 699 354 101,médicalbonanjo@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Lun–Ven 08h00–18h00
LAB0079,Laboratoire Kamga,Yaoundé,Yaoundé II,Émana,3.864065,11.524977,+237 654 647 038,kamga@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Oui,Lun–Sam 08h30–18h30
LAB0080,Laboratoire de Boko,Douala,Douala VI,Nzeng-Ayong,4.001882,9.70692,+237 243 632 215,boko@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Oui,Lun–Ven 08h00–18h00
LAB0081,Centre d'Analyses de Logbessou,Douala,Douala I,Logbessou,4.088077,9.775467,+237 655 645 425,logbessou@labo.cm,Oui,Oui,Non,Oui,Non,Non,Oui,Lun–Sam 07h30–19h00
LAB0082,Laboratoire Essomba,Yaoundé,Yaoundé I,Mvog-Ada,3.900867,11.506455,+237 692 473 464,essomba@yahoo.fr,Oui,Non,Oui,Non,Non,Non,Non,Lun–Sam 07h30–19h00
LAB0083,Centre d'Analyses de Bastos,Yaoundé,Yaoundé III,Ekounou,3.794729,11.514583,+237 678 598 080,bastos@labo.cm,Oui,Oui,Non,Oui,Non,Non,Non,7j/7 — 08h00–20h00
LAB0084,Laboratoire Saint-Marc,Douala,Douala II,Ndogpassi,4.0555,9.61992,+237 690 203 345,marc@labo.cm,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
LAB0085,Laboratoire Lumière,Yaoundé,Yaoundé I,Djoungolo,3.837434,11.507599,+237 654 769 955,lumière@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Oui,7j/7 — 08h00–20h00
LAB0086,Centre d'Analyses de Bali,Douala,Douala III,Bali,4.027815,9.790892,+237 650 203 051,bali@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Non,Lun–Ven 07h30–17h30
LAB0087,Laboratoire Médical de Bangue,Douala,Douala I,Logbessou,4.052312,9.731141,+237 653 853 566,médicalbangue@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Non,Lun–Sam 08h30–18h30
LAB0088,Centre d'Analyses de Nlongkak,Yaoundé,Yaoundé V,Carrière,3.872729,11.437504,+237 690 757 952,nlongkak@labo.cm,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h00–20h00
LAB0089,Laboratoire Médical de New Bell,Douala,Douala I,New Bell,4.112566,9.764196,+237 677 480 598,médicalnewbell@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 08h00–17h00
LAB0090,Centre d'Analyses de Bepanda,Douala,Douala IV,Bali,4.010229,9.6898,+237 694 215 453,bepanda@gmail.com,Oui,Oui,Oui,Non,Non,Non,Oui,Lun–Dim 08h00–18h00
LAB0091,Laboratoire de Biteng,Yaoundé,Yaoundé III,Obili,3.788261,11.549251,+237 233 950 432,biteng@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Oui,Lun–Ven 07h30–17h30
LAB0092,Laboratoire Ngoa,Yaoundé,Yaoundé V,Briqueterie,3.763428,11.504522,+237 698 461 735,ngoa@gmail.com,Oui,Non,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
LAB0093,Laboratoire Grâce,Yaoundé,Yaoundé I,Cité Verte,3.763979,11.464493,+237 696 898 318,grâce@yahoo.fr,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 08h00–18h00
LAB0094,Centre d'Analyses de Deido,Douala,Douala IV,Deido,4.102121,9.743217,+237 651 065 374,deido@gmail.com,Oui,Oui,Oui,Non,Oui,Oui,Non,Lun–Ven 08h00–18h00
LAB0095,Centre d'Analyses de Mboppi,Douala,Douala I,Bassa,4.134518,9.708456,+237 698 330 808,mboppi@yahoo.fr,Oui,Oui,Oui,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
LAB0096,Centre d'Analyses de Nkongmondo,Douala,Douala III,New Bell,4.070474,9.711815,+237 678 055 960,nkongmondo@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Non,Lun–Ven 07h30–17h30
LAB0097,Laboratoire de Cité des Palmiers,Douala,Douala V,Bessengue,4.077433,9.721952,+237 697 595 144,citédespalmier@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Oui,Lun–Sam 07h00–20h00
LAB0098,Laboratoire Saint-Félicité,Yaoundé,Yaoundé IV,Nkol-Afeme,3.839625,11.399824,+237 654 883 245,félicité@yahoo.fr,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Dim 08h00–18h00
LAB0099,Laboratoire Médical de Mokolo,Yaoundé,Yaoundé V,Bastos,3.920629,11.477957,+237 653 967 463,médicalmokolo@gmail.com,Oui,Oui,Oui,Oui,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0100,Centre d'Analyses de Elig-Essono,Yaoundé,Yaoundé I,Elig-Essono,3.851034,11.39506,+237 679 826 829,elig-essono@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Non,Lun–Ven 07h30–17h30
LAB0101,Laboratoire Nlend,Yaoundé,Yaoundé V,Nkolbisson,3.861092,11.499155,+237 677 057 055,nlend@hotmail.com,Oui,Non,Non,Oui,Non,Non,Oui,Lun–Sam 07h30–19h00
LAB0102,Laboratoire Saint-Louis,Yaoundé,Yaoundé I,Étoa-Meki,3.774739,11.522766,+237 652 592 007,louis@yahoo.fr,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Ven 08h00–18h00
LAB0103,Centre d'Analyses de Nkoldongo,Yaoundé,Yaoundé IV,Nsam,3.786325,11.477609,+237 679 220 998,nkoldongo@yahoo.fr,Oui,Oui,Oui,Non,Non,Oui,Oui,Lun–Ven 07h30–17h30
LAB0104,Laboratoire Médical de Nyalla,Douala,Douala II,PK12,3.999631,9.744087,+237 243 509 054,médicalnyalla@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Oui,7j/7 — 08h00–20h00
LAB0105,Laboratoire de Elig-Essono,Yaoundé,Yaoundé IV,Briqueterie,3.810194,11.451593,+237 654 189 259,elig-essono@yahoo.fr,Oui,Non,Oui,Oui,Oui,Non,Non,Lun–Sam 08h30–18h30
LAB0106,Laboratoire Saint-Patrick,Yaoundé,Yaoundé VII,Ngoa-Ekélé,3.865452,11.439853,+237 651 646 543,patrick@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0107,Laboratoire Ndjock,Yaoundé,Yaoundé VI,Simbock,3.800934,11.429234,+237 679 750 722,ndjock@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0108,Laboratoire Bonheur,Yaoundé,Yaoundé VI,Ahala,3.781162,11.579085,+237 694 168 308,bonheur@labo.cm,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Dim 08h00–18h00
LAB0109,Laboratoire Mbassi,Yaoundé,Yaoundé III,Djoungolo,3.877401,11.498847,+237 222 835 071,mbassi@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Oui,Lun–Dim 08h00–18h00
LAB0110,Laboratoire Avenir,Yaoundé,Yaoundé I,Mvog-Beti,3.83405,11.407338,+237 699 555 099,avenir@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,7j/7 — 08h00–20h00
LAB0111,Centre d'Analyses de Nkol-Afeme,Yaoundé,Yaoundé I,Nkol-Afeme,3.818364,11.451323,+237 691 270 034,nkol-afeme@labo.cm,Oui,Oui,Oui,Oui,Non,Non,Non,7j/7 — 08h00–20h00
LAB0112,Laboratoire Saint-Augustin,Yaoundé,Yaoundé IV,Ngousso,3.84114,11.529118,+237 677 009 117,augustin@yahoo.fr,Oui,Non,Non,Oui,Oui,Non,Non,Lun–Sam 08h00–17h00
LAB0113,Laboratoire Ngoa,Douala,Douala II,PK12,4.114986,9.703009,+237 233 940 776,ngoa@labo.cm,Oui,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0114,Laboratoire Médical de Messa,Yaoundé,Yaoundé III,Messa,3.819201,11.502683,+237 694 514 368,médicalmessa@labo.cm,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
LAB0115,Laboratoire Saint-Jeanne,Yaoundé,Yaoundé I,Émana,3.823916,11.414988,+237 650 888 838,jeanne@labo.cm,Oui,Oui,Non,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0116,Laboratoire Médical de Bonaberi,Douala,Douala II,Bangue,4.062336,9.709975,+237 651 278 876,médicalbonaber@labo.cm,Oui,Non,Non,Oui,Non,Non,Oui,Lun–Sam 07h30–19h00
LAB0117,Centre d'Analyses de Bonaberi,Douala,Douala V,Akwa,4.10871,9.681762,+237 650 759 821,bonaberi@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
LAB0118,Centre d'Analyses de Mvan,Yaoundé,Yaoundé V,Mvan,3.929439,11.453875,+237 698 166 577,mvan@gmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Lun–Sam 07h30–19h00
LAB0119,Laboratoire de Sodiko,Douala,Douala VI,Sodiko,4.050331,9.707223,+237 694 719 547,sodiko@labo.cm,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Dim 08h00–18h00
LAB0120,Centre d'Analyses de Bonapriso,Douala,Douala III,Bonapriso,4.087386,9.706173,+237 690 134 115,bonapriso@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Non,Lun–Ven 07h30–17h30
LAB0121,Laboratoire de Ndogbong,Douala,Douala II,Bonamoussadi,4.0548,9.648329,+237 677 064 163,ndogbong@yahoo.fr,Oui,Oui,Oui,Non,Oui,Non,Oui,7j/7 — 08h00–20h00
LAB0122,Laboratoire Médical de Djoungolo,Yaoundé,Yaoundé V,Djoungolo,3.877857,11.448498,+237 650 890 099,médicaldjoungo@gmail.com,Oui,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
LAB0123,Centre d'Analyses de Mvog-Atangana,Yaoundé,Yaoundé V,Mvog-Atangana,3.8439,11.452444,+237 698 370 778,mvog-atangana@labo.cm,Oui,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 07h30–17h30
