id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,agree_minsante,phytotherapie,acupuncture,massage_therapeutique,traitement_paludisme,traitement_diabete,traitement_hypertension,plante_principale,horaires
TRD0020,Centre de Phytothérapie de PK10,Douala,Douala III,Bonaloka,4.055287,9.695118,+237 695 082 537,phytothérapiep@gmail.com,Non,Oui,Non,Non,Oui,Oui,Oui,Hibiscus,Lun–Ven 08h00–18h00
TRD0021,Médecine Naturelle Feudjio,Yaoundé,Yaoundé III,Ekounou,3.747846,11.502948,+237 654 712 022,naturelfeudjio@sante.cm,Non,Oui,Non,Oui,Oui,Non,Non,Kinkeliba,7j/7 — 08h00–20h00
TRD0022,Centre Traditionnel Félicité,Douala,Douala III,Nzeng-Ayong,3.989405,9.665169,+237 222 904 873,traditionnelfé@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Non,Neem,Lun–Sam 07h00–20h00
TRD0023,Cabinet Traditionnel Djoumbi,Douala,Douala I,Logbessou,4.05624,9.768724,+237 653 056 721,traditionneldj@sante.cm,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0024,Phytothérapie Santé,Douala,Douala V,Akwa,3.993889,9.729944,+237 692 992 072,phytothérapies@gmail.com,Oui,Oui,Oui,Non,Non,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0025,Centre Traditionnel Jean,Douala,Douala I,Sodiko,4.015679,9.74603,+237 696 980 065,traditionnelje@hotmail.com,Oui,Oui,Non,Non,Non,Oui,Non,Aloe Vera,7j/7 — 08h00–20h00
TRD0026,Centre de Médecine Traditionnelle de Melen,Yaoundé,Yaoundé I,Melen,3.79191,11.500375,+237 233 897 883,traditionnelme@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Oui,Moringa,Lun–Ven 08h00–18h00
TRD0027,Centre de Phytothérapie de Messa,Yaoundé,Yaoundé VI,Messa,3.793378,11.430108,+237 655 442 777,phytothérapiem@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Ven 07h30–17h30
TRD0028,Centre de Médecine Traditionnelle de Nlongkak,Yaoundé,Yaoundé VII,Mvog-Atangana,3.80668,11.47063,+237 695 328 538,traditionnelnl@yahoo.fr,Non,Oui,Non,Non,Oui,Oui,Oui,Neem,Lun–Sam 07h00–20h00
TRD0029,Phytothérapie Lumière,Douala,Douala V,Soboum,4.07089,9.71546,+237 677 541 264,phytothérapiel@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Ven 08h00–18h00
TRD0030,Centre de Médecine Traditionnelle de Akwa,Douala,Douala II,Bassa,4.081546,9.646621,+237 699 327 549,traditionnelak@gmail.com,Oui,Oui,Oui,Oui,Non,Non,Oui,Papayer,Lun–Ven 08h00–18h00
TRD0031,Centre Traditionnel Raphaël,Yaoundé,Yaoundé III,Briqueterie,3.898435,11.445473,+237 651 658 123,traditionnelra@yahoo.fr,Non,Oui,Non,Non,Oui,Oui,Oui,Rauwolfia,Lun–Sam 08h00–17h00
TRD0032,Phytothérapie Lumière,Yaoundé,Yaoundé VI,Mendong,3.784583,11.440847,+237 677 908 517,phytothérapiel@yahoo.fr,Non,Oui,Non,Oui,Oui,Non,Oui,Prunus Africana,7j/7 — 08h00–20h00
TRD0033,Centre de Phytothérapie de Simbock,Yaoundé,Yaoundé VI,Simbock,3.828484,11.475452,+237 652 069 705,phytothérapies@sante.cm,Oui,Oui,Non,Non,Oui,Non,Oui,Kinkeliba,Lun–Dim 08h00–18h00
TRD0034,Centre Traditionnel Cyprien,Douala,Douala I,PK17,4.027617,9.795264,+237 679 472 015,traditionnelcy@yahoo.fr,Oui,Oui,Oui,Non,Non,Oui,Oui,Moringa,7j/7 — 08h00–20h00
TRD0035,Cabinet Traditionnel Nkeng,Douala,Douala VI,Bonamoussadi,3.971287,9.691908,+237 695 503 141,traditionnelnk@hotmail.com,Oui,Oui,Non,Non,Non,Oui,Non,Moringa,Lun–Sam 07h30–19h00
TRD0036,Centre de Phytothérapie de Ndog-Bong,Douala,Douala I,Ndoghem,3.981508,9.7472,+237 242 124 175,phytothérapien@yahoo.fr,Oui,Oui,Oui,Oui,Non,Oui,Oui,Prunus Africana,7j/7 — 08h00–20h00
TRD0037,Centre de Phytothérapie de Bali,Douala,Douala II,Bessengue,4.05828,9.742706,+237 242 648 257,phytothérapieb@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Non,Moringa,Lun–Ven 07h30–17h30
TRD0038,Centre Traditionnel Anne,Yaoundé,Yaoundé V,Nlongkak,3.840876,11.566577,+237 679 328 946,traditionnelan@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Oui,Moringa,7j/7 — 08h00–20h00
TRD0039,Centre de Médecine Traditionnelle de Nzeng-Ayong,Douala,Douala III,PK8,4.023226,9.661643,+237 698 285 481,traditionnelnz@sante.cm,Non,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 08h30–18h30
TRD0040,Centre de Phytothérapie de Kondengui,Yaoundé,Yaoundé IV,Kondengui,3.857477,11.41623,+237 650 446 902,phytothérapiek@sante.cm,Oui,Oui,Non,Oui,Oui,Non,Non,Aloe Vera,Lun–Sam 07h30–19h00
TRD0041,Centre de Médecine Traditionnelle de Nkoldongo,Yaoundé,Yaoundé I,Nkoldongo,3.809,11.591602,+237 222 183 249,traditionnelnk@gmail.com,Non,Oui,Non,Oui,Oui,Non,Non,Kinkeliba,Lun–Sam 08h30–18h30
TRD0042,Centre de Phytothérapie de Youpwé,Douala,Douala V,Makepe,4.061194,9.724979,+237 243 839 457,phytothérapiey@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Gingembre,Lun–Ven 07h30–17h30
TRD0043,Centre de Phytothérapie de Nyalla,Douala,Douala I,Bonanjo,4.124698,9.71224,+237 697 374 774,phytothérapien@hotmail.com,Oui,Oui,Non,Non,Non,Non,Oui,Kinkeliba,Lun–Sam 07h00–20h00
TRD0044,Centre de Phytothérapie de PK17,Douala,Douala V,PK17,3.987428,9.725725,+237 695 903 697,phytothérapiep@sante.cm,Oui,Oui,Non,Oui,Non,Oui,Oui,Prunus Africana,Lun–Ven 07h30–17h30
TRD0045,Centre Traditionnel Damien,Douala,Douala I,Ndogbong,4.135758,9.680922,+237 233 535 516,traditionnelda@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Ven 08h00–18h00
TRD0046,Médecine Naturelle Tabi,Yaoundé,Yaoundé IV,Ngoa-Ekélé,3.885925,11.472188,+237 654 389 742,natureltabi@gmail.com,Oui,Oui,Oui,Oui,Non,Oui,Oui,Aloe Vera,7j/7 — 08h00–20h00
TRD0047,Centre de Médecine Traditionnelle de PK17,Douala,Douala VI,Ndog-Bong,4.101454,9.668323,+237 243 781 820,traditionnelpk@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Oui,Papayer,Lun–Sam 07h00–20h00
TRD0048,Médecine Naturelle Essomba,Yaoundé,Yaoundé VII,Briqueterie,3.858846,11.562801,+237 654 403 447,naturelessomba@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Non,Gingembre,Lun–Sam 08h00–17h00
TRD0049,Centre Traditionnel Dominique,Yaoundé,Yaoundé V,Omnisports,3.871495,11.583556,+237 651 939 874,traditionneldo@gmail.com,Non,Oui,Non,Oui,Oui,Non,Oui,Papayer,Lun–Sam 08h30–18h30
TRD0050,Phytothérapie Bonheur,Douala,Douala II,Bonamoussadi,3.99572,9.638468,+237 697 422 630,phytothérapieb@hotmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0051,Médecine Naturelle Nkeng,Yaoundé,Yaoundé I,Kondengui,3.848099,11.466891,+237 243 645 414,naturelnkeng@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 08h00–17h00
TRD0052,Centre de Médecine Traditionnelle de Mvog-Beti,Yaoundé,Yaoundé I,Mvog-Beti,3.762843,11.565964,+237 692 085 109,traditionnelmv@yahoo.fr,Oui,Oui,Non,Oui,Oui,Non,Oui,Neem,Lun–Ven 07h30–17h30
TRD0053,Centre de Phytothérapie de Nkoldongo,Yaoundé,Yaoundé I,Nkoldongo,3.76365,11.451595,+237 677 337 846,phytothérapien@gmail.com,Oui,Oui,Non,Non,Oui,Non,Non,Kinkeliba,7j/7 — 08h00–20h00
TRD0054,Phytothérapie Harmonie,Yaoundé,Yaoundé VII,Essos,3.878468,11.55071,+237 699 304 204,phytothérapieh@sante.cm,Non,Oui,Non,Non,Non,Oui,Oui,Hibiscus,Lun–Sam 08h00–17h00
TRD0055,Phytothérapie Vie,Yaoundé,Yaoundé V,Mvog-Beti,3.77368,11.527212,+237 690 142 721,phytothérapiev@gmail.com,Non,Oui,Non,Non,Oui,Non,Non,Prunus Africana,Lun–Sam 08h30–18h30
TRD0056,Centre Traditionnel Gabriel,Douala,Douala II,PK10,3.983222,9.685077,+237 695 698 108,traditionnelga@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h30–19h00
TRD0057,Médecine Naturelle Mvogo,Douala,Douala III,Makepe,4.036354,9.749382,+237 243 158 391,naturelmvogo@hotmail.com,Non,Oui,Non,Non,Oui,Oui,Oui,Moringa,Lun–Sam 07h30–19h00
TRD0058,Centre de Médecine Traditionnelle de Mvog-Atangana,Yaoundé,Yaoundé IV,Nkomo,3.861268,11.596855,+237 677 404 518,traditionnelmv@sante.cm,Non,Oui,Non,Non,Oui,Oui,Non,Aloe Vera,Lun–Dim 08h00–18h00
TRD0059,Cabinet Traditionnel Nlend,Yaoundé,Yaoundé VI,Mimboman,3.911436,11.519026,+237 698 751 006,traditionnelnl@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Oui,Papayer,Lun–Sam 08h00–17h00
TRD0060,Centre de Phytothérapie de Mendong,Yaoundé,Yaoundé VI,Émana,3.805819,11.501199,+237 655 805 372,phytothérapiem@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Oui,Rauwolfia,Lun–Sam 07h30–19h00
TRD0061,Phytothérapie Bonheur,Douala,Douala V,Cité des Palmiers,4.116349,9.700171,+237 655 591 249,phytothérapieb@sante.cm,Oui,Oui,Non,Non,Oui,Non,Oui,Moringa,7j/7 — 08h00–20h00
TRD0062,Médecine Naturelle Abega,Yaoundé,Yaoundé II,Essos,3.794872,11.441753,+237 696 743 706,naturelabega@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Non,Rauwolfia,Lun–Ven 07h30–17h30
TRD0063,Centre de Phytothérapie de Ndoghem,Douala,Douala IV,Akwa,4.000122,9.646262,+237 692 797 238,phytothérapien@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Neem,Lun–Sam 08h30–18h30
TRD0064,Centre Traditionnel Louis,Yaoundé,Yaoundé VI,Simbock,3.911336,11.448371,+237 650 050 789,traditionnello@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Hibiscus,Lun–Ven 07h30–17h30
TRD0065,Centre de Médecine Traditionnelle de Koumassi,Douala,Douala III,Bonapriso,4.032849,9.744522,+237 651 657 105,traditionnelko@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Gingembre,7j/7 — 08h00–20h00
TRD0066,Médecine Naturelle Abega,Douala,Douala VI,Bangue,4.068057,9.654833,+237 677 382 983,naturelabega@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Non,Papayer,Lun–Sam 07h00–20h00
TRD0067,Cabinet Traditionnel Simo,Douala,Douala II,Kotto,4.001125,9.637838,+237 652 562 784,traditionnelsi@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Non,Aloe Vera,7j/7 — 08h00–20h00
TRD0068,Centre de Médecine Traditionnelle de Ndoghem,Douala,Douala IV,Bonamoussadi,4.104429,9.645376,+237 697 501 244,traditionnelnd@hotmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Sam 07h00–20h00
TRD0069,Centre de Phytothérapie de Mendong,Yaoundé,Yaoundé IV,Mendong,3.947653,11.460116,+237 243 932 204,phytothérapiem@hotmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Moringa,Lun–Sam 07h30–19h00
TRD0070,Centre de Médecine Traditionnelle de Ahala,Yaoundé,Yaoundé VI,Mvog-Ada,3.819009,11.60036,+237 695 077 623,traditionnelah@hotmail.com,Oui,Oui,Oui,Non,Oui,Non,Oui,Rauwolfia,Lun–Sam 07h00–20h00
TRD0071,Cabinet Traditionnel Mvé,Yaoundé,Yaoundé V,Nsam,3.937067,11.459087,+237 677 258 744,traditionnelmv@hotmail.com,Oui,Oui,Non,Oui,Non,Oui,Oui,Moringa,Lun–Sam 08h30–18h30
TRD0072,Phytothérapie Bien-être,Douala,Douala V,Mbanya,4.074718,9.718444,+237 678 751 617,phytothérapieb@hotmail.com,Non,Oui,Non,Non,Oui,Oui,Oui,Prunus Africana,Lun–Sam 08h00–17h00
TRD0073,Cabinet Traditionnel Eba,Yaoundé,Yaoundé III,Ekounou,3.782741,11.464587,+237 696 974 292,traditionneleb@sante.cm,Oui,Oui,Non,Oui,Non,Oui,Oui,Papayer,7j/7 — 08h00–20h00
TRD0074,Médecine Naturelle Kuitche,Yaoundé,Yaoundé VII,Étoa-Meki,3.851872,11.602671,+237 651 979 781,naturelkuitche@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Non,Papayer,Lun–Sam 07h30–19h00
TRD0075,Cabinet Traditionnel Fotso,Douala,Douala II,Bepanda,4.101706,9.725709,+237 242 046 873,traditionnelfo@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Non,Kinkeliba,Lun–Sam 08h30–18h30
TRD0076,Centre de Phytothérapie de Bonapriso,Douala,Douala III,Deido,4.002381,9.718895,+237 694 052 815,phytothérapieb@hotmail.com,Non,Oui,Non,Oui,Oui,Oui,Non,Moringa,Lun–Sam 08h30–18h30
TRD0077,Centre de Médecine Traditionnelle de Elig-Essono,Yaoundé,Yaoundé VI,Elig-Essono,3.786741,11.550791,+237 651 458 900,traditionnelel@hotmail.com,Non,Oui,Non,Oui,Non,Oui,Non,Hibiscus,Lun–Sam 08h30–18h30
TRD0078,Centre Traditionnel Paul,Yaoundé,Yaoundé III,Tsinga,3.807165,11.493882,+237 691 633 702,traditionnelpa@sante.cm,Oui,Oui,Non,Non,Oui,Oui,Oui,Rauwolfia,Lun–Sam 07h30–19h00
TRD0079,Phytothérapie Bonheur,Douala,Douala I,Boko,4.034666,9.705711,+237 692 064 561,phytothérapieb@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Dim 08h00–18h00
TRD0080,Médecine Naturelle Ekani,Douala,Douala IV,Nzeng-Ayong,4.057347,9.776464,+237 243 241 497,naturelekani@hotmail.com,Non,Oui,Non,Non,Oui,Non,Oui,Neem,Lun–Sam 07h30–19h00
TRD0081,Médecine Naturelle Hamadou,Yaoundé,Yaoundé I,Briqueterie,3.798135,11.489087,+237 691 639 112,naturelhamadou@sante.cm,Oui,Oui,Oui,Non,Oui,Non,Oui,Neem,Lun–Sam 07h00–20h00
TRD0082,Centre de Phytothérapie de New Bell,Douala,Douala IV,Ndokoti,4.009705,9.736113,+237 243 738 459,phytothérapien@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Oui,Kinkeliba,Lun–Dim 08h00–18h00
TRD0083,Médecine Naturelle Ngoa,Yaoundé,Yaoundé VI,Omnisports,3.781189,11.488177,+237 692 999 226,naturelngoa@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Oui,Aloe Vera,Lun–Sam 07h30–19h00
TRD0084,Médecine Naturelle Mvé,Yaoundé,Yaoundé IV,Mvog-Ada,3.744696,11.500109,+237 699 178 865,naturelmvé@sante.cm,Oui,Oui,Non,Oui,Oui,Oui,Non,Papayer,Lun–Sam 07h00–20h00
TRD0085,Centre de Phytothérapie de Mbanya,Douala,Douala II,Bonanjo,4.043967,9.79323,+237 697 868 317,phytothérapiem@yahoo.fr,Oui,Oui,Oui,Non,Oui,Oui,Oui,Neem,Lun–Ven 08h00–18h00
TRD0086,Centre Traditionnel Monique,Yaoundé,Yaoundé VI,Essos,3.87398,11.439147,+237 652 388 871,traditionnelmo@sante.cm,Oui,Oui,Non,Non,Non,Oui,Oui,Hibiscus,Lun–Sam 07h00–20h00
TRD0087,Centre de Phytothérapie de Bonaberi,Douala,Douala IV,Bonaberi,4.020192,9.792041,+237 696 878 758,phytothérapieb@sante.cm,Non,Oui,Non,Oui,Non,Non,Non,Papayer,Lun–Dim 08h00–18h00
TRD0088,Centre de Phytothérapie de Bali,Douala,Douala IV,Logbessou,4.093803,9.71071,+237 690 608 267,phytothérapieb@sante.cm,Oui,Oui,Non,Non,Non,Oui,Non,Moringa,Lun–Sam 08h00–17h00
TRD0089,Centre de Phytothérapie de Cité des Palmiers,Douala,Douala VI,Cité des Palmiers,4.065923,9.748583,+237 653 865 910,phytothérapiec@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Ven 08h00–18h00
TRD0090,Centre de Phytothérapie de Ndogpassi,Douala,Douala VI,Ndoghem,4.116942,9.695936,+237 242 716 925,phytothérapien@gmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Neem,Lun–Dim 08h00–18h00
TRD0091,Centre Traditionnel François,Yaoundé,Yaoundé I,Bastos,3.804606,11.412689,+237 650 924 880,traditionnelfr@hotmail.com,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Aloe Vera,Lun–Sam 08h00–17h00
TRD0092,Centre de Médecine Traditionnelle de Mvan,Yaoundé,Yaoundé VI,Mendong,3.880213,11.584003,+237 692 414 846,traditionnelmv@sante.cm,Oui,Oui,Oui,Non,Non,Oui,Non,Moringa,Lun–Sam 08h00–17h00
TRD0093,Phytothérapie Confiance,Douala,Douala V,Japoma,4.11028,9.670762,+237 690 647 813,phytothérapiec@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Non,Oui,Papayer,Lun–Ven 08h00–18h00
TRD0094,Centre Traditionnel Bernadette,Douala,Douala IV,Akwa,4.123659,9.66416,+237 653 216 136,traditionnelbe@yahoo.fr,Non,Oui,Non,Non,Oui,Non,Non,Aloe Vera,Lun–Sam 07h30–19h00
TRD0095,Phytothérapie Lumière,Douala,Douala IV,Village,3.993333,9.743935,+237 698 092 792,phytothérapiel@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h00–20h00
TRD0096,Médecine Naturelle Bello,Yaoundé,Yaoundé VI,Mvog-Atangana,3.860528,11.596276,+237 678 129 750,naturelbello@hotmail.com,Oui,Oui,Non,Non,Oui,Oui,Oui,Hibiscus,Lun–Sam 07h30–19h00
TRD0097,Centre de Médecine Traditionnelle de Émana,Yaoundé,Yaoundé II,Émana,3.805334,11.409025,+237 242 153 916,traditionnelém@sante.cm,Oui,Oui,Non,Oui,Non,Non,Oui,Prunus Africana,Lun–Dim 08h00–18h00
TRD0098,Centre de Phytothérapie de New Bell,Douala,Douala II,Sodiko,4.033559,9.638297,+237 652 241 151,phytothérapien@sante.cm,Non,Oui,Non,Non,Oui,Non,Non,Hibiscus,Lun–Sam 08h00–17h00
TRD0099,Cabinet Traditionnel Tabi,Yaoundé,Yaoundé III,Mendong,3.827627,11.505235,+237 695 879 868,traditionnelta@sante.cm,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Rauwolfia,Lun–Sam 08h30–18h30
TRD0100,Centre de Médecine Traditionnelle de Bali,Douala,Douala IV,Ndog-Passi III,4.084155,9.656085,+237 698 791 985,traditionnelba@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Non,Rauwolfia,Lun–Sam 07h00–20h00
TRD0101,Médecine Naturelle Ateba,Douala,Douala I,New Bell,3.979772,9.762732,+237 679 087 384,naturelateba@yahoo.fr,Oui,Oui,Non,Oui,Oui,Oui,Oui,Kinkeliba,Lun–Sam 07h30–19h00
TRD0102,Centre de Médecine Traditionnelle de Messa,Yaoundé,Yaoundé VI,Elig-Essono,3.855797,11.586024,+237 243 046 350,traditionnelme@hotmail.com,Oui,Oui,Oui,Oui,Oui,Non,Non,Gingembre,7j/7 — 08h00–20h00
TRD0103,Centre de Médecine Traditionnelle de Nkomo,Yaoundé,Yaoundé III,Nkomo,3.822017,11.547705,+237 698 132 518,traditionnelnk@sante.cm,Non,Oui,Non,Non,Oui,Non,Non,Aloe Vera,Lun–Sam 08h00–17h00
TRD0104,Phytothérapie Providence,Yaoundé,Yaoundé VII,Olembe,3.79991,11.453884,+237 233 178 269,phytothérapiep@hotmail.com,Non,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Sam 07h30–19h00
TRD0105,Phytothérapie Avenir,Yaoundé,Yaoundé III,Ekounou,3.868931,11.51477,+237 694 487 245,phytothérapiea@yahoo.fr,Non,Oui,Oui,Non,Oui,Non,Oui,Rauwolfia,Lun–Dim 08h00–18h00
TRD0106,Centre de Phytothérapie de Madagascar,Yaoundé,Yaoundé VI,Madagascar,3.82951,11.490615,+237 698 751 472,phytothérapiem@gmail.com,Oui,Oui,Oui,Non,Oui,Oui,Non,Aloe Vera,Lun–Dim 08h00–18h00
TRD0107,Cabinet Traditionnel Hamadou,Yaoundé,Yaoundé VI,Omnisports,3.846352,11.476734,+237 698 538 922,traditionnelha@gmail.com,Oui,Oui,Non,Oui,Oui,Oui,Oui,Prunus Africana,Lun–Dim 08h00–18h00
TRD0108,Centre de Phytothérapie de PK8,Douala,Douala V,Sodiko,3.978398,9.752189,+237 690 088 654,phytothérapiep@sante.cm,Oui,Oui,Non,Non,Oui,Oui,Oui,Moringa,Lun–Sam 07h30–19h00
TRD0109,Centre de Phytothérapie de Koumassi,Douala,Douala II,Ndog-Passi III,4.036977,9.683499,+237 694 889 018,phytothérapiek@yahoo.fr,Non,Oui,Oui,Oui,Oui,Non,Non,Moringa,Lun–Sam 07h30–19h00
TRD0110,Centre de Phytothérapie de Mvog-Beti,Yaoundé,Yaoundé V,Cité Verte,3.753504,11.465554,+237 690 906 401,phytothérapiem@hotmail.com,Non,Oui,Non,Oui,Oui,Non,Oui,Kinkeliba,Lun–Sam 07h30–19h00
TRD0111,Cabinet Traditionnel Nkoa,Yaoundé,Yaoundé VII,Omnisports,3.913964,11.512588,+237 654 817 653,traditionnelnk@gmail.com,Non,Oui,Non,Oui,Oui,Oui,Oui,Moringa,Lun–Ven 08h00–18h00
