id,name,type,city,district,neighborhood,address,latitude,longitude,services,opening_hours,is_open_24h,contact,email,source_category,metadata
DIA0011,Centre Rénal Nkeng,Dialyse,Douala,Douala IV,Boko,,3.984577,9.679432,"[""hemodialyse""]",7j/7 — 07h00–21h00,false,+237 698 199 036,rénalnkeng@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""15"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0012,Centre de Dialyse de Bangue,Dialyse,Douala,Douala IV,Ndokoti,,4.017622,9.683398,"[""hemodialyse"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 693 986 181,bangue@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""13"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0013,Centre de Dialyse de Ndog-Passi III,Dialyse,Douala,Douala I,Ndoghem,,4.084124,9.739773,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps""]",7j/7 — 07h00–21h00,false,+237 242 212 198,ndog-passiiii@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""17"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0014,Centre de Néphrologie de Nlongkak,Dialyse,Yaoundé,Yaoundé II,Mimboman,,3.943899,11.457594,"[""hemodialyse"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 222 319 891,néphrologienlo@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""7"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0015,Centre de Néphrologie de Bassa,Dialyse,Douala,Douala III,Mbanya,,4.058151,9.685637,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_minsante""]",7j/7 — 07h00–21h00,false,+237 653 678 554,néphrologiebas@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""7"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0016,Centre de Néphrologie de Biteng,Dialyse,Yaoundé,Yaoundé II,Obili,,3.834853,11.521513,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue""]",Lun–Ven 07h00–19h00,false,+237 222 458 889,néphrologiebit@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""17"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0017,Centre de Néphrologie de Etoudi,Dialyse,Yaoundé,Yaoundé III,Etoudi,,3.858695,11.515946,"[""hemodialyse""]",7j/7 — 06h00–22h00,false,+237 655 623 834,néphrologieeto@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""14"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0018,Centre de Dialyse de Mbanya,Dialyse,Douala,Douala III,Koumassi,,4.076727,9.683636,"[""hemodialyse"", ""urgences_renales""]",7j/7 — 07h00–21h00,false,+237 654 791 582,mbanya@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""4"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0019,Unité de Dialyse Tchoupo,Dialyse,Douala,Douala IV,Youpwé,,4.017568,9.760256,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 222 334 613,unitétchoupo@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""17"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0020,Centre de Dialyse de Ndokoti,Dialyse,Douala,Douala IV,Bessengue,,4.059770,9.634244,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 243 997 998,ndokoti@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""12"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0021,Centre de Dialyse Saint-Félicité,Dialyse,Yaoundé,Yaoundé IV,Carrière,,3.810935,11.598434,"[""hemodialyse"", ""prise_en_charge_cnps""]",Lun–Ven 07h00–19h00,false,+237 653 495 010,félicité@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""15"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0022,Unité de Dialyse Elong,Dialyse,Douala,Douala V,Logbessou,,4.022799,9.707359,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 696 802 082,unitéelong@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""9"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0023,Dialyse Grâce,Dialyse,Yaoundé,Yaoundé III,Mvog-Beti,,3.859637,11.550472,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_minsante""]",7j/7 — 07h00–21h00,false,+237 677 231 335,grâce@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""17"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0024,Centre de Dialyse de PK12,Dialyse,Douala,Douala I,Ndoghem,,4.038427,9.652504,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",7j/7 — 07h00–21h00,false,+237 691 100 470,pk12@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""5"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0025,Centre de Néphrologie de Makepe,Dialyse,Douala,Douala VI,Makepe,,4.124378,9.680080,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""prise_en_charge_cnps""]",7j/7 — 06h00–22h00,false,+237 699 687 753,néphrologiemak@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""19"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0026,Centre de Néphrologie de Ndoghem,Dialyse,Douala,Douala I,Soboum,,3.978035,9.663695,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 699 049 668,néphrologiendo@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""5"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0027,Centre de Dialyse de Obili,Dialyse,Yaoundé,Yaoundé III,Obili,,3.751200,11.507590,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 222 239 895,obili@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""3"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0028,Unité de Dialyse Nkoa,Dialyse,Yaoundé,Yaoundé VI,Ekounou,,3.906053,11.520744,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 233 052 860,uniténkoa@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""17"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0029,Centre de Néphrologie de Soboum,Dialyse,Douala,Douala III,PK17,,3.986606,9.666429,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 652 132 070,néphrologiesob@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""14"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0030,Centre de Dialyse de Bepanda,Dialyse,Douala,Douala II,Bepanda,,4.061919,9.786833,"[""hemodialyse"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 233 747 242,bepanda@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""15"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0031,Unité de Dialyse Ondoa,Dialyse,Douala,Douala II,Village,,4.057069,9.732032,"[""hemodialyse""]",7j/7 — 06h00–22h00,false,+237 677 628 617,unitéondoa@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""4"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0032,Centre de Dialyse de Simbock,Dialyse,Yaoundé,Yaoundé II,Simbock,,3.838451,11.596578,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 243 716 933,simbock@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""20"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0033,Centre de Dialyse de Mbanya,Dialyse,Douala,Douala IV,Boko,,4.048860,9.775339,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales""]",Lun–Ven 07h00–19h00,false,+237 693 677 519,mbanya@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""16"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0034,Dialyse Bonheur,Dialyse,Douala,Douala IV,Ndoghem,,4.104187,9.776883,"[""hemodialyse"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 695 535 878,bonheur@hotmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""11"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0035,Centre de Dialyse de PK8,Dialyse,Douala,Douala II,PK8,,3.963921,9.696818,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",7j/7 — 07h00–21h00,false,+237 694 579 898,pk8@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""3"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0036,Centre de Néphrologie de Mimboman,Dialyse,Yaoundé,Yaoundé VI,Mimboman,,3.912758,11.487481,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue""]",Lun–Sam 06h00–20h00,false,+237 233 385 224,néphrologiemim@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""13"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0037,Dialyse Providence,Dialyse,Douala,Douala VI,PK14,,3.967679,9.675770,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_minsante""]",7j/7 — 06h00–22h00,false,+237 652 472 357,providence@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""9"", ""seances_par_semaine"": ""3 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0038,Centre de Dialyse de Nsam,Dialyse,Yaoundé,Yaoundé V,Nsam,,3.793926,11.523945,"[""hemodialyse"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 243 443 420,nsam@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""4"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0039,Centre de Dialyse de Bali,Dialyse,Douala,Douala III,Akwa,,4.001150,9.729808,"[""hemodialyse"", ""consultation_nephrologue"", ""prise_en_charge_cnps"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 222 101 184,bali@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""19"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Non"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0040,Centre de Dialyse de Bonanjo,Dialyse,Douala,Douala III,Ndogbong,,4.041050,9.657717,"[""hemodialyse"", ""urgences_renales"", ""prise_en_charge_minsante""]",Lun–Sam 06h00–20h00,false,+237 233 725 077,bonanjo@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""19"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
DIA0041,Unité de Dialyse Owona,Dialyse,Douala,Douala III,Bonamoussadi,,4.047311,9.669745,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales""]",Lun–Sam 06h00–20h00,false,+237 679 742 459,unitéowona@dialyse.cm,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""5"", ""seances_par_semaine"": ""Sur rendez-vous"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0042,Centre de Néphrologie de PK12,Dialyse,Douala,Douala V,PK10,,4.023958,9.628407,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales""]",Lun–Ven 07h00–19h00,false,+237 699 916 254,néphrologiepk1@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""18"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Non""}"
DIA0043,Centre de Néphrologie de Bangue,Dialyse,Douala,Douala VI,Nyalla,,4.033064,9.691614,"[""hemodialyse"", ""dialyse_peritoneale"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps""]",7j/7 — 07h00–21h00,false,+237 691 810 271,néphrologieban@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Oui"", ""nb_postes_dialyse"": ""19"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0044,Unité de Dialyse Kamga,Dialyse,Douala,Douala III,Japoma,,3.994245,9.690432,"[""hemodialyse"", ""consultation_nephrologue"", ""urgences_renales"", ""prise_en_charge_cnps""]",Lun–Sam 06h00–20h00,false,+237 691 571 104,unitékamga@gmail.com,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""18"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Oui"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Oui"", ""prise_en_charge_minsante"": ""Non""}"
DIA0045,Centre de Dialyse de Bessengue,Dialyse,Douala,Douala III,Nkongmondo,,4.087132,9.672992,"[""hemodialyse"", ""urgences_renales"", ""prise_en_charge_minsante""]",Lun–Ven 07h00–19h00,false,+237 653 370 004,bessengue@yahoo.fr,Dialyse,"{""hemodialyse"": ""Oui"", ""dialyse_peritoneale"": ""Non"", ""nb_postes_dialyse"": ""12"", ""seances_par_semaine"": ""2 séances/semaine"", ""consultation_nephrologue"": ""Non"", ""urgences_renales"": ""Oui"", ""prise_en_charge_cnps"": ""Non"", ""prise_en_charge_minsante"": ""Oui""}"
